Agar,Chocolate,1
Agar,Condensed milk,1
Agar,Eggs,2
Agar,Lemon,2
Agar,Salted butter,1
Agar,Sugar,2
Agar,Vanilla,1
Agar,Water,2
Agar,Wheat,1
Chocolate,Condensed milk,2
Chocolate,Eggs,10
Chocolate,Lemon,2
Chocolate,Salted butter,8
Chocolate,Sugar,11
Chocolate,Vanilla,5
Chocolate,Water,5
Chocolate,Wheat,4
Condensed milk,Eggs,7
Condensed milk,Lemon,2
Condensed milk,Salted butter,7
Condensed milk,Sugar,7
Condensed milk,Vanilla,3
Condensed milk,Water,3
Condensed milk,Wheat,3
Eggs,Lemon,82
Eggs,Salted butter,286
Eggs,Sugar,171
Eggs,Vanilla,107
Eggs,Water,92
Eggs,Wheat,148
Lemon,Salted butter,84
Lemon,Sugar,49
Lemon,Vanilla,31
Lemon,Water,48
Lemon,Wheat,33
Salted butter,Sugar,129
Salted butter,Vanilla,91
Salted butter,Water,83
Salted butter,Wheat,126
Sugar,Vanilla,64
Sugar,Water,88
Sugar,Wheat,116
Vanilla,Water,20
Vanilla,Wheat,38
Water,Wheat,79
Agar,Gelatin,1
Agar,Pastry,1
Eggs,Gelatin,8
Eggs,Pastry,9
Gelatin,Lemon,4
Gelatin,Pastry,1
Gelatin,Sugar,5
Gelatin,Water,5
Lemon,Pastry,5
Pastry,Sugar,3
Pastry,Water,5
Agave,Allium,1
Agave,Cabbage,1
Agave,Kale,1
Agave,Pepper,1
Agave,Salad dressing,1
Agave,Salt,1
Agave,Vinegar,1
Agave,Wild celery,1
Allium,Cabbage,100
Allium,Kale,3
Allium,Pepper,34
Allium,Salad dressing,29
Allium,Salt,195
Allium,Vinegar,69
Allium,Wild celery,60
Cabbage,Kale,1
Cabbage,Pepper,11
Cabbage,Salad dressing,2
Cabbage,Salt,72
Cabbage,Vinegar,32
Cabbage,Wild celery,25
Kale,Pepper,3
Kale,Salad dressing,1
Kale,Salt,2
Kale,Vinegar,1
Kale,Wild celery,2
Pepper,Salad dressing,3
Pepper,Salt,42
Pepper,Vinegar,9
Pepper,Wild celery,8
Salad dressing,Salt,36
Salad dressing,Vinegar,3
Salad dressing,Wild celery,3
Salt,Vinegar,48
Salt,Wild celery,33
Vinegar,Wild celery,22
Agave,Leavening agent,1
Agave,Margarine-like spread,1
Agave,Sour cream,1
Agave,Sugar,1
Agave,Tofu,1
Agave,Wheat,1
Leavening agent,Margarine-like spread,3
Leavening agent,Sour cream,31
Leavening agent,Sugar,113
Leavening agent,Tofu,1
Leavening agent,Wheat,90
Margarine-like spread,Sour cream,2
Margarine-like spread,Sugar,4
Margarine-like spread,Tofu,1
Margarine-like spread,Wheat,4
Sour cream,Sugar,56
Sour cream,Tofu,1
Sour cream,Wheat,56
Sugar,Tofu,1
Tofu,Wheat,1
Allium,Allspice,4
Allium,Capers,7
Allium,"Cattle (Beef, Veal)",130
Allium,Chicken,39
Allium,Cooking oil,111
Allium,Dill,134
Allium,Garden tomato,34
Allium,Garden tomato (var.),99
Allium,Grape wine,47
Allium,Herbs and Spices,8
