egg,all-purpose flour,35
egg,sour cream,14
all-purpose flour,sour cream,20
all-purpose flour,lemon,7
white sugar,all-purpose flour,30
egg,white sugar,23
egg,lemon,6
sour cream,lemon,4
white sugar,lemon,8
white sugar,sour cream,10
vegetable oil,all-purpose flour,5
salt,pepper,30
vegetable oil,water,10
beef,salt,16
egg,water,14
water,beef,5
beef,onion,21
egg,onion,12
vegetable oil,salt,13
beef,water,11
onion,water,19
all-purpose flour,onion,13
egg,pepper,8
all-purpose flour,water,15
egg,beef,4
egg,salt,45
vegetable oil,onion,16
vegetable oil,pepper,6
all-purpose flour,beef,9
onion,pepper,22
all-purpose flour,pepper,10
salt,beef,8
water,onion,16
water,all-purpose flour,13
egg,vegetable oil,22
water,pepper,11
water,water,3
salt,all-purpose flour,26
vegetable oil,beef,6
onion,salt,38
beef,pepper,15
salt,salt,13
all-purpose flour,salt,42
salt,onion,21
water,salt,26
salt,water,20
carrot,mayonnaise,10
potato,beetroot,5
onion,mayonnaise,12
herring,mayonnaise,2
carrot,herring,2
carrot,onion,14
carrot,beetroot,4
potato,herring,2
potato,carrot,14
potato,onion,19
beetroot,mayonnaise,4
potato,mayonnaise,14
beetroot,herring,2
beetroot,onion,6
onion,herring,2
buttermilk,salt,3
potato,water,10
all-purpose flour,butter,30
water,mozzarella cheese,2
potato,all-purpose flour,5
water,butter,13
all-purpose flour,buttermilk,2
all-purpose flour,mozzarella cheese,2
salt,mozzarella cheese,2
buttermilk,butter,2
potato,salt,19
buttermilk,water,2
salt,butter,25
buttermilk,mozzarella cheese,2
mozzarella cheese,butter,2
potato,butter,7
potato,mozzarella cheese,2
potato,buttermilk,3
egg,potato,6
vegetable oil,mushroom,6
chicken,mushroom,3
vegetable oil,egg,6
vegetable oil,potato,4
mushroom,black olive,2
cheddar cheese,black olive,2
chicken,salt,6
egg,cheddar cheese,6
salt,black olive,2
black olive,potato,2
vegetable oil,black olive,2
cheddar cheese,potato,2
chicken,mayonnaise,6
garlic,egg,3
garlic,potato,3
mushroom,potato,3
salt,egg,24
salt,potato,6
salt,mushroom,15
mushroom,cheddar cheese,3
onion,mushroom,14
mushroom,garlic,10
garlic,black olive,2
mayonnaise,black olive,2
chicken,cheddar cheese,4
onion,egg,14
onion,potato,9
mushroom,mayonnaise,5
mayonnaise,egg,5
mayonnaise,potato,2
chicken,garlic,3
salt,vegetable oil,22
onion,black olive,2
chicken,onion,4
vegetable oil,cheddar cheese,3
mayonnaise,cheddar cheese,4
salt,mayonnaise,6
chicken,potato,4
chicken,egg,5
mayonnaise,garlic,7
onion,cheddar cheese,4
chicken,vegetable oil,3
chicken,black olive,2
salt,garlic,12
vegetable oil,mayonnaise,4
onion,garlic,21
egg,black olive,2
salt,cheddar cheese,5
mushroom,egg,5
garlic,cheddar cheese,3
vegetable oil,garlic,4
cabbage,puff pastry,3
egg,egg,12
butter,egg,19
butter,cabbage,7
butter,salt,22
cabbage,egg,6
cabbage,salt,11
salt,puff pastry,3
dill,puff pastry,3
puff pastry,egg,3
dill,salt,11
egg,dill,11
dill,egg,5
butter,dill,10
egg,puff pastry,3
butter,puff pastry,3
cabbage,dill,10
dry active yeast,salt,13
dry active yeast,water,4
milk,egg,18
lemon,egg,4
milk,raisin,3
white sugar,water,7
walnut,egg,2
white sugar,poppy seed,4
salt,honey,3
butter,honey,6
egg,raisin,4
all-purpose flour,raisin,5
dry active yeast,milk,8
all-purpose flour,white sugar,16
poppy seed,walnut,2
salt,raisin,3
egg,honey,2
white sugar,milk,10
raisin,walnut,2
all-purpose flour,poppy seed,4
all-purpose flour,milk,7
milk,walnut,3
white sugar,egg,18
raisin,white sugar,4
milk,poppy seed,2
milk,lemon,4
salt,white sugar,9
honey,white sugar,4
white sugar,honey,4
milk,butter,13
salt,poppy seed,2
butter,poppy seed,3
white sugar,butter,19
lemon,white sugar,3
poppy seed,egg,2
egg,butter,19
milk,salt,14
butter,white sugar,12
all-purpose flour,walnut,6
poppy seed,white sugar,2
honey,walnut,3
white sugar,salt,31
salt,milk,8
lemon,walnut,3
honey,water,4
butter,walnut,5
dry active yeast,poppy seed,2
dry active yeast,walnut,2
honey,egg,6
egg,walnut,6
white sugar,walnut,4
dry active yeast,white sugar,10
poppy seed,milk,2
raisin,egg,5
butter,water,8
poppy seed,water,2
white sugar,raisin,5
white sugar,white sugar,9
dry active yeast,lemon,4
milk,water,4
lemon,raisin,2
raisin,water,3
salt,walnut,3
lemon,honey,2
lemon,all-purpose flour,4
milk,milk,4
dry active yeast,egg,12
poppy seed,honey,2
dry active yeast,all-purpose flour,11
egg,milk,7
dry active yeast,honey,4
lemon,salt,7
poppy seed,raisin,2
all-purpose flour,egg,25
butter,raisin,3
walnut,water,2
milk,white sugar,13
dry active yeast,raisin,3
lemon,milk,2
lemon,butter,3
butter,milk,5
egg,poppy seed,3
dry active yeast,butter,9
all-purpose flour,honey,3
milk,dry active yeast,5
raisin,honey,3
milk,all-purpose flour,17
lemon,poppy seed,2
lemon,water,4
milk,honey,3
tomato,garlic,5
tomato,onion,7
pork,garlic,4
tomato,gouda cheese,2
gouda cheese,mustard,2
onion,gouda cheese,3
gouda cheese,garlic,3
gouda cheese,salt,3
tomato,salt,10
pork,gouda cheese,2
garlic,salt,13
tomato,mustard,2
garlic,mustard,4
pork,tomato,5
salt,mustard,5
pork,onion,6
pork,salt,6
onion,mustard,6
pork,mustard,2
white sugar,"1/2 teaspoon vanilla extract, or to taste (optional)",1
cottage cheese,"1/2 teaspoon vanilla extract, or to taste (optional)",1
white sugar,vegetable oil,17
cottage cheese,egg,7
egg,"1/2 teaspoon vanilla extract, or to taste (optional)",1
"1/2 teaspoon vanilla extract, or to taste (optional)",vegetable oil,1
all-purpose flour,vegetable oil,18
all-purpose flour,icing sugar,8
cottage cheese,all-purpose flour,3
all-purpose flour,"1/2 teaspoon vanilla extract, or to taste (optional)",1
vegetable oil,icing sugar,2
cottage cheese,salt,4
white sugar,icing sugar,6
"1/2 teaspoon vanilla extract, or to taste (optional)",icing sugar,1
salt,icing sugar,6
egg,icing sugar,7
cottage cheese,vegetable oil,2
cottage cheese,icing sugar,2
cottage cheese,white sugar,5
"1/2 teaspoon vanilla extract, or to taste (optional)",salt,1
butter,all-purpose flour,24
beef stock,white wine,2
scallion,salt,4
mushroom,white wine,3
butter,sour cream,16
beef,mushroom,10
butter,mustard,2
scallion,mustard,1
all-purpose flour,beef stock,5
scallion,all-purpose flour,1
scallion,sour cream,2
white wine,salt,1
scallion,mushroom,1
pepper,white wine,3
salt,white wine,4
mushroom,pepper,5
mustard,mushroom,1
beef stock,pepper,4
pepper,scallion,1
sour cream,pepper,5
salt,sour cream,24
all-purpose flour,mushroom,11
beef,beef stock,7
mushroom,salt,8
beef,white wine,4
beef,butter,7
white wine,pepper,1
sour cream,salt,12
butter,beef stock,5
all-purpose flour,white wine,3
mustard,white wine,1
beef,sour cream,16
salt,beef stock,6
butter,pepper,9
scallion,white wine,1
pepper,all-purpose flour,10
pepper,mustard,3
pepper,mushroom,8
beef stock,salt,4
pepper,sour cream,14
mustard,sour cream,3
mustard,salt,3
salt,scallion,3
beef stock,sour cream,9
beef,all-purpose flour,9
pepper,salt,5
beef stock,mustard,2
beef stock,mushroom,3
butter,scallion,2
butter,white wine,3
scallion,pepper,1
mustard,pepper,2
beef,scallion,1
scallion,beef stock,1
all-purpose flour,mustard,2
pepper,beef stock,5
sour cream,white wine,2
pepper,butter,4
mushroom,sour cream,12
pepper,pepper,2
butter,mushroom,13
beef,mustard,4
butter,icing sugar,5
icing sugar,all-purpose flour,1
icing sugar,walnut,1
vanilla,all-purpose flour,5
vanilla,walnut,1
vanilla,icing sugar,5
butter,vanilla,6
pepper,tomato,6
egg,tomato,3
beef,tomato,8
onion,tomato,15
rice,cabbage,2
cabbage,beef,4
rice,pepper,2
water,rice,4
water,egg,8
beef,egg,4
rice,salt,5
rice,onion,5
salt,tomato,7
cabbage,pepper,7
rice,tomato,4
water,tomato,8
cabbage,onion,5
water,cabbage,8
cabbage,tomato,7
rice,egg,4
rice,beef,2
dill,pepper,6
butter,chicken stock,3
dill,dill,3
salt,half-and-half,1
chicken stock,mushroom,3
butter,potato,4
chicken stock,salt,2
salt,bay leaf,3
mushroom,half-and-half,1
leek,all-purpose flour,1
carrot,all-purpose flour,1
butter,bay leaf,2
leek,dill,2
potato,half-and-half,1
chicken stock,pepper,1
mushroom,all-purpose flour,6
chicken stock,half-and-half,1
leek,half-and-half,1
carrot,pepper,8
butter,carrot,3
leek,pepper,1
carrot,half-and-half,1
half-and-half,dill,1
chicken stock,dill,3
leek,carrot,2
carrot,salt,15
dill,mushroom,2
dill,half-and-half,1
dill,all-purpose flour,5
salt,dill,12
chicken stock,all-purpose flour,2
pepper,potato,1
leek,salt,1
all-purpose flour,dill,6
leek,mushroom,1
carrot,chicken stock,1
bay leaf,all-purpose flour,2
bay leaf,potato,1
leek,chicken stock,1
bay leaf,mushroom,2
carrot,mushroom,4
bay leaf,half-and-half,1
carrot,dill,11
half-and-half,all-purpose flour,1
dill,bay leaf,2
mushroom,dill,8
chicken stock,potato,2
pepper,bay leaf,1
potato,mushroom,6
dill,potato,1
leek,bay leaf,1
pepper,half-and-half,1
potato,dill,13
pepper,dill,8
carrot,bay leaf,3
butter,leek,1
chicken stock,bay leaf,2
bay leaf,dill,4
carrot,potato,4
leek,potato,1
butter,half-and-half,1
beef,carrot,4
tomato,water,5
vinegar0,water,1
carrot,garlic,5
tomato,carrot,1
white sugar,cabbage,4
carrot,cabbage,6
carrot,water,7
vinegar0,salt,1
white sugar,garlic,2
tomato,white sugar,3
vinegar0,white sugar,1
beef,white sugar,3
carrot,vinegar0,1
onion,white sugar,4
salt,cabbage,7
pepper,garlic,8
white sugar,pepper,4
pepper,cabbage,2
pepper,water,6
garlic,cabbage,2
beef,garlic,12
vinegar0,cabbage,1
tomato,vinegar0,1
beef,cabbage,3
vinegar0,pepper,1
vinegar0,garlic,1
tomato,pepper,5
onion,cabbage,9
water,garlic,5
carrot,white sugar,4
tomato,cabbage,2
onion,vinegar0,1
beef,vinegar0,1
dill,vegetable stock,1
potato,sour cream,11
butter,tomato,5
potato,tomato,5
beetroot,celery,1
cabbage,sour cream,6
potato,vegetable stock,3
beetroot,dill,4
cabbage,honey,1
onion,sour cream,28
celery,pepper,2
caraway seed,salt,2
beetroot,tomato,2
carrot,cider vinegar,2
carrot,honey,1
onion,honey,1
pepper,vegetable stock,1
beetroot,carrot,4
celery,cabbage,3
salt,celery,2
onion,carrot,8
cider vinegar,honey,1
celery,carrot,2
water,dill,9
pepper,cider vinegar,1
celery,sour cream,3
onion,caraway seed,1
beetroot,caraway seed,1
water,sour cream,12
dill,honey,1
beetroot,butter,2
celery,honey,1
water,vegetable stock,1
butter,cider vinegar,1
water,carrot,5
cider vinegar,vegetable stock,1
onion,celery,4
cabbage,cider vinegar,1
potato,caraway seed,1
water,celery,3
caraway seed,carrot,1
butter,vegetable stock,1
tomato,vegetable stock,2
butter,onion,16
cabbage,vegetable stock,1
honey,vegetable stock,1
celery,dill,4
honey,tomato,1
salt,vegetable stock,1
beetroot,water,2
butter,celery,1
potato,cabbage,2
caraway seed,tomato,1
beetroot,salt,7
potato,celery,2
water,caraway seed,2
carrot,vegetable stock,2
carrot,tomato,6
tomato,sour cream,9
onion,vegetable stock,3
honey,sour cream,2
dill,cider vinegar,1
sour cream,vegetable stock,1
caraway seed,dill,1
pepper,honey,1
potato,cider vinegar,2
caraway seed,celery,1
cider vinegar,tomato,1
potato,honey,1
onion,dill,22
caraway seed,honey,2
celery,tomato,3
water,cider vinegar,2
caraway seed,cider vinegar,1
celery,vegetable stock,2
beetroot,sour cream,3
beetroot,cabbage,4
water,honey,3
salt,carrot,4
caraway seed,pepper,1
potato,pepper,6
beetroot,vegetable stock,1
caraway seed,vegetable stock,1
butter,caraway seed,1
beetroot,pepper,3
cider vinegar,sour cream,1
caraway seed,cabbage,1
caraway seed,sour cream,1
beetroot,cider vinegar,1
celery,cider vinegar,1
dill,sour cream,3
onion,cider vinegar,2
salt,cider vinegar,1
dill,tomato,2
carrot,sour cream,6
beetroot,honey,1
corn syrup,coffee,1
all-purpose flour,coffee,1
corn syrup,caraway seed,1
salt,coffee,1
coffee,dry active yeast,1
rye flour,margarine,1
margarine,caraway seed,1
salt,caraway seed,1
brown sugar,dry active yeast,1
cider vinegar,brown sugar,1
margarine,fennel seed,1
corn syrup,dry active yeast,2
caraway seed,dry active yeast,2
cider vinegar,cocoa powder,1
salt,dry active yeast,2
brown sugar,caraway seed,1
corn syrup,brown sugar,1
cider vinegar,salt,2
all-purpose flour,caraway seed,1
cider vinegar,rye flour,1
brown sugar,fennel seed,1
rye flour,corn syrup,1
salt,brown sugar,2
water,rye flour,2
coffee,fennel seed,1
rye flour,dry active yeast,2
all-purpose flour,cocoa powder,1
corn syrup,cocoa powder,1
all-purpose flour,dry active yeast,1
salt,cocoa powder,1
margarine,brown sugar,1
rye flour,fennel seed,1
brown sugar,cocoa powder,1
all-purpose flour,brown sugar,3
cocoa powder,fennel seed,1
margarine,coffee,1
rye flour,caraway seed,2
water,corn syrup,2
fennel seed,dry active yeast,1
cider vinegar,coffee,1
water,coffee,1
water,brown sugar,1
water,dry active yeast,4
margarine,corn syrup,1
cocoa powder,dry active yeast,2
cider vinegar,dry active yeast,1
all-purpose flour,margarine,1
water,cocoa powder,1
water,margarine,1
corn syrup,fennel seed,1
salt,margarine,1
all-purpose flour,fennel seed,1
cider vinegar,corn syrup,1
rye flour,coffee,2
salt,fennel seed,1
cocoa powder,coffee,2
rye flour,salt,2
rye flour,cocoa powder,2
cocoa powder,caraway seed,2
cider vinegar,caraway seed,1
cider vinegar,fennel seed,1
water,fennel seed,1
all-purpose flour,corn syrup,1
cider vinegar,all-purpose flour,1
rye flour,brown sugar,1
salt,corn syrup,1
cider vinegar,margarine,1
margarine,cocoa powder,1
all-purpose flour,rye flour,1
coffee,caraway seed,1
brown sugar,coffee,1
caraway seed,fennel seed,1
margarine,dry active yeast,1
beef,rice,2
onion,vinegar,3
garlic powder,salt,1
salt,vinegar,3
egg,vinegar,1
water,white sugar,9
pork,white sugar,1
cabbage,vinegar,3
pork,vinegar,1
salt,parsley,6
pepper,white sugar,2
beef,pork,3
onion,parsley,10
pork,pepper,1
parsley,salt,3
cabbage,white sugar,3
water,vinegar,4
cabbage,rice,3
rice,vinegar,1
tomato,vinegar,1
pork,rice,2
rice,white sugar,1
salt,garlic powder,1
cabbage,garlic powder,1
salt,rice,1
parsley,tomato,1
beef,vinegar,3
rice,garlic powder,1
pepper,vinegar,3
water,parsley,7
garlic powder,pepper,2
parsley,egg,1
vinegar,white sugar,2
water,garlic powder,1
water,pork,2
pork,parsley,1
garlic powder,white sugar,1
parsley,vinegar,1
garlic powder,vinegar,2
pork,egg,2
parsley,white sugar,1
egg,garlic powder,1
onion,garlic powder,2
salt,pork,1
parsley,pepper,2
beef,parsley,3
cabbage,water,5
garlic powder,tomato,1
pork,garlic powder,1
cabbage,parsley,2
cabbage,pork,3
parsley,garlic powder,1
beef,garlic powder,2
rice,parsley,2
dry active yeast,vegetable oil,4
water,vegetable oil,7
dill,vegetable oil,5
pepper,egg,3
onion,dry active yeast,1
onion,all-purpose flour,13
vegetable oil,vegetable oil,6
onion,vegetable oil,9
dill,water,2
onion,milk,3
vegetable oil,white sugar,2
dill,white sugar,1
